qeury metabbolite,gene,gene_type,modification,DeepVCF score,var
Metabolite:hdca_c,P0AGB0,metabolic,overexpress,0.0004671766,8.7170685e-07
Metabolite:hdca_c,P69441,metabolic,overexpress,0.00046563032,7.046563e-07
Metabolite:hdca_c,P0AEK4,metabolic,knock out,0.00045569628,2.4912515e-07
Metabolite:hdca_c,P36659,non-metabolic,overexpress,0.00037578723,5.5099247e-07
Metabolite:hdca_c,P0A6S7,metabolic,overexpress,0.00032779938,1.3702258e-07
Metabolite:hdca_c,P0A6I9,metabolic,overexpress,0.00031251012,3.8964413e-07
Metabolite:hdca_c,P32129,non-metabolic,overexpress,0.0002844892,2.4008992e-07
Metabolite:hdca_c,P10908,metabolic,overexpress,0.00028016916,2.3539262e-07
Metabolite:hdca_c,P0A867,metabolic,overexpress,0.00026365544,2.3043961e-07
Metabolite:hdca_c,P0ABD5,metabolic,knock out,0.00025314864,2.404802e-07
Metabolite:hdca_c,P08142,metabolic,knock out,0.0002511264,2.4530362e-07
Metabolite:hdca_c,P0A9C9,metabolic,knock out,0.00023900768,2.2822762e-07
Metabolite:hdca_c,P00893,metabolic,knock out,0.00023715459,1.9653832e-07
Metabolite:hdca_c,P77712,non-metabolic,knock out,0.00022816598,7.587712e-08
Metabolite:hdca_c,P77187,non-metabolic,knock out,0.00022738834,2.0467317e-07
Metabolite:hdca_c,P0AFG8,metabolic,knock out,0.0002118777,1.6554331e-07
Metabolite:hdca_c,P0A7A2,non-metabolic,knock out,0.00018312414,1.2490517e-07
Metabolite:hdca_c,P0A722,metabolic,knock out,0.00018119057,5.733988e-08
Metabolite:hdca_c,P0AC33,metabolic,knock out,0.00017797993,2.6580654e-08
Metabolite:hdca_c,P0ADP5,non-metabolic,overexpress,0.00017602011,1.188623e-07
Metabolite:hdca_c,P0C054,non-metabolic,knock out,0.00017344298,1.197524e-07
Metabolite:hdca_c,P77747,metabolic,overexpress,0.00017211164,1.1836661e-07
Metabolite:hdca_c,P77297,non-metabolic,knock out,0.00016774317,1.1243107e-07
Metabolite:hdca_c,P23830,metabolic,knock out,0.00015199766,4.8120732e-08
Metabolite:hdca_c,P0A993,metabolic,knock out,0.00014238768,8.0901216e-08
Metabolite:hdca_c,P31663,metabolic,overexpress,0.00013690279,7.488101e-08
Metabolite:hdca_c,P77495,metabolic,overexpress,0.00013434458,7.118548e-08
Metabolite:hdca_c,P33570,metabolic,knock out,0.00013388341,6.7759316e-08
Metabolite:hdca_c,P0A840,metabolic,overexpress,0.00012721166,1.7057154e-08
Metabolite:hdca_c,P0ABN1,metabolic,knock out,0.00012562663,2.7129825e-08
Metabolite:hdca_c,P60584,non-metabolic,overexpress,0.00012514749,3.6683915e-08
Metabolite:hdca_c,P0ADF8,metabolic,knock out,0.00012499776,5.168284e-08
Metabolite:hdca_c,P0AGM2,non-metabolic,knock out,0.00012397848,5.1132965e-08
Metabolite:hdca_c,P08312,non-metabolic,knock out,0.000116239826,5.1133107e-08
Metabolite:hdca_c,P0A9Q1,non-metabolic,knock out,0.00011596758,5.3653373e-08
Metabolite:hdca_c,P0A790,metabolic,knock out,0.00011575725,4.810796e-08
Metabolite:hdca_c,P0A8K1,metabolic,knock out,0.000114181654,4.794357e-08
Metabolite:hdca_c,P38521,non-metabolic,overexpress,0.00011337076,5.06885e-08
Metabolite:hdca_c,P0A7A9,non-metabolic,knock out,0.000113140224,2.2938172e-08
Metabolite:hdca_c,P76092,non-metabolic,overexpress,0.00011135547,4.8067175e-08
Metabolite:hdca_c,P42912,non-metabolic,knock out,0.00010991067,4.490014e-08
Metabolite:hdca_c,P21437,metabolic,knock out,0.00010788029,4.522812e-08
Metabolite:hdca_c,P0A9H7,metabolic,overexpress,0.000101660684,4.0872298e-08
Metabolite:hdca_c,P0A6F5,non-metabolic,overexpress,0.00010060152,4.0481307e-08
Metabolite:hdca_c,P0A722,metabolic,overexpress,9.929284e-05,6.7584374e-09
Metabolite:hdca_c,P0A6V5,metabolic,overexpress,9.5650284e-05,3.659174e-08
Metabolite:hdca_c,P0A9P0,metabolic,knock out,9.1265654e-05,2.6581366e-08
Metabolite:hdca_c,P0ADR8,non-metabolic,knock out,8.9024084e-05,2.9638112e-08
Metabolite:hdca_c,P0A959,metabolic,knock out,8.773275e-05,1.2750912e-08
Metabolite:hdca_c,P0AFL3,non-metabolic,knock out,8.768279e-05,3.0752723e-08
Metabolite:hdca_c,P09053,metabolic,knock out,8.661833e-05,2.8507054e-08
Metabolite:hdca_c,P30850,non-metabolic,knock out,8.486344e-05,2.8795375e-08
Metabolite:hdca_c,P0AFG6,metabolic,overexpress,8.279633e-05,2.6906298e-08
Metabolite:hdca_c,P11071,non-metabolic,knock out,8.271046e-05,2.7232241e-08
Metabolite:hdca_c,P0AC47,metabolic,knock out,7.948722e-05,2.5039446e-08
Metabolite:hdca_c,P52647,metabolic,knock out,7.7697114e-05,2.3889417e-08
Metabolite:hdca_c,P00893,metabolic,overexpress,7.68348e-05,2.2913127e-08
Metabolite:hdca_c,P43676,non-metabolic,knock out,7.349977e-05,1.9064043e-08
Metabolite:hdca_c,Q7DFV4,non-metabolic,knock out,7.072173e-05,1.982394e-08
Metabolite:hdca_c,P0A8V6,non-metabolic,knock out,6.9892325e-05,1.9508239e-08
Metabolite:hdca_c,P0ADY1,non-metabolic,knock out,6.986685e-05,1.9478506e-08
Metabolite:hdca_c,P0A7A2,non-metabolic,overexpress,6.9608104e-05,1.925128e-08
Metabolite:hdca_c,P0ABQ0,metabolic,overexpress,6.911657e-05,1.9065931e-08
Metabolite:hdca_c,P77221,non-metabolic,overexpress,6.806463e-05,1.852108e-08
Metabolite:hdca_c,P0A6A3,metabolic,knock out,6.76938e-05,5.183063e-09
