CPX-1652	P32074 P40509 P41810 P41811 P43621 P53600 P53622
CPX-1653	P32913 P34110 P38759 P40335 Q92331
CPX-1654	P39925 P40341
CPX-1655	P25573 P32795 Q04472
CPX-1656	P32367 P33339 P34111 Q06339 Q12308 Q12415
CPX-1657	P34160 Q08920
CPX-1658	P36100 P36145
CPX-1659	P06242 P06839 P32776 P37366 Q00578 Q02939 Q03290 Q04673 Q08816 Q12004 Q3E7C1
CPX-1660	P06242 P37366 Q03290
CPX-1661	P27692 P32914
CPX-1662	P40096 Q92317
CPX-1663	P14922 P16649
CPX-1664	P07703 P10964 P20434 P20435 P20436 P22138 P22139 P28000 P32529 P40422 P46669 P47006 P50106 Q01080
CPX-1665	P53150 Q08387
CPX-1666	P14242 P38920
CPX-1667	P38920 Q07980
CPX-1668	P38920 Q12083
CPX-1669	P06700 P47035 Q00684
CPX-1670	P38257 Q04149
CPX-1671	P40005 P46988 P48363 P52553 P53900 Q04493
CPX-1672	P23642 P39107
CPX-1673	P53840 Q04659
CPX-1674	P38273 P53129
CPX-1675	P25342 P32457 P32458 P32468 Q07657
CPX-1676	P53104 Q06410 Q06628 Q12092 Q12421
CPX-1677	P22219 P22543 Q02948 Q05919
CPX-1678	P40507 P40985 P47047 P53632
CPX-1679	P40985 P47047 P53632 Q12476
CPX-1680	P40507 P47047 P48561
CPX-1681	P25651 P29295 P40065 Q04087
CPX-1682	P39984 Q12341 Q12373
CPX-1683	P22204 P40484
CPX-1684	P43563 P53894
CPX-1685	P23293 Q05949
CPX-1687	P46674 Q08231
CPX-1688	P17157 P20052
CPX-1689	P17157 P40038
CPX-1690	P17157 P40186
CPX-1691	P17157 Q08966
CPX-1692	P17157 P53124
CPX-1693	P17157 P35190
CPX-1694	P17157 P25693
CPX-1695	P17157 P24867
CPX-1696	P17157 P38794
CPX-1697	P17157 Q12477
CPX-1698	P32803 P39704 P54837 Q05359
CPX-1699	P00546 P20437 P20486
CPX-1700	P00546 P13365 P20486
CPX-1701	P00546 P24869
CPX-1702	P00546 P30283
CPX-1703	P40961 P50085
CPX-1704	P40965 Q12175
CPX-1705	P27637 P32598
CPX-1706	P28496 P38703 Q03579
CPX-1707	P00812 P05150
CPX-1708	P06777 P06838 P28519
CPX-1709	P06779 P14164 P31244
CPX-1710	P46962 P46963 Q03957
CPX-1711	P38803 P38883 P53877
CPX-1712	P25293 P25342 P32457 P32458 P32468 P53890 Q07657 Q12263
