dataset	taxaID	locus	gene	essentiality
108	83333	bcsG	bcsG	NE
108	83333	bcsQ	bcsQ	NE
108	83333	bcsZ	bcsZ	NE
108	83333	bdcA	bdcA	NE
108	83333	bdcR	bdcR	NE
108	83333	bdm	bdm	NE
108	83333	beeE	beeE	NE
108	83333	betA	betA	NE
108	83333	betB	betB	NE
108	83333	betI	betI	NE
108	83333	betT	betT	NE
108	83333	bfd	bfd	NE
108	83333	bfm	bfm	NE
108	83333	bfr	bfr	NE
108	83333	bglA	bglA	NE
108	83333	bglB	bglB	NE
108	83333	bglF	bglF	NE
108	83333	bglG	bglG	NE
108	83333	bglH	bglH	NE
108	83333	bglJ	bglJ	NE
108	83333	bglT	bglT	NE
108	83333	bglX	bglX	NE
108	83333	bhsA	bhsA	NE
108	83333	bioA	bioA	NE
108	83333	bioB	bioB	NE
108	83333	bioC	bioC	NE
108	83333	bioD	bioD	NE
108	83333	bioF	bioF	NE
108	83333	bioH	bioH	NE
108	83333	bioP	bioP	NE
108	83333	birA	birA	E
108	83333	bisC	bisC	NE
108	83333	blc	blc	NE
108	83333	blr	blr	NE
108	83333	bluF	bluF	NE
108	83333	bluR	bluR	NE
108	83333	bolA	bolA	NE
108	83333	borD	borD	NE
108	83333	brnQ	brnQ	NE
108	83333	brnR	brnR	NE
108	83333	brnS	brnS	NE
108	83333	brnT	brnT	NE
108	83333	bsmA	bsmA	NE
108	83333	bssR	bssR	NE
108	83333	bssS	bssS	NE
108	83333	btuB	btuB	NE
108	83333	btuC	btuC	NE
108	83333	btuD	btuD	NE
108	83333	btuE	btuE	NE
108	83333	btuF	btuF	NE
108	83333	btuR	btuR	NE
108	83333	bymA	bymA	NE
108	83333	cadA	cadA	NE
108	83333	cadB	cadB	NE
108	83333	cadC	cadC	NE
108	83333	caiA	caiA	NE
108	83333	caiB	caiB	NE
108	83333	caiC	caiC	NE
108	83333	caiD	caiD	NE
108	83333	caiE	caiE	NE
108	83333	caiF	caiF	NE
108	83333	caiT	caiT	NE
108	83333	calA	calA	NE
108	83333	calC	calC	NE
108	83333	calD	calD	NE
108	83333	can	can	C
108	83333	carA	carA	NE
108	83333	carB	carB	NE
108	83333	casA	casA	NE
108	83333	casB	casB	NE
108	83333	casC	casC	NE
108	83333	casD	casD	NE
108	83333	casE	casE	NE
108	83333	cbeA	cbeA	NE
108	83333	cbl	cbl	NE
108	83333	cbpA	cbpA	NE
108	83333	cbpM	cbpM	NE
108	83333	cbrA	cbrA	NE
108	83333	cbrB	cbrB	NE
108	83333	cbrC	cbrC	NE
108	83333	cbtA	cbtA	NE
108	83333	cca	cca	E
108	83333	ccmA	ccmA	NE
108	83333	ccmB	ccmB	NE
108	83333	ccmC	ccmC	NE
108	83333	ccmD	ccmD	NE
108	83333	ccmE	ccmE	NE
108	83333	ccmF	ccmF	NE
108	83333	ccmH	ccmH	NE
108	83333	cdaR	cdaR	NE
108	83333	cdd	cdd	NE
108	83333	cde	cde	NE
108	83333	cdh	cdh	NE
108	83333	cdsA	cdsA	E
108	83333	cdsS	cdsS	NE
108	83333	cedA	cedA	NE
108	83333	cfa	cfa	NE
108	83333	cfcA	cfcA	C
108	83333	chaA	chaA	NE
108	83333	chaB	chaB	NE
108	83333	chaC	chaC	NE
108	83333	chbA	chbA	NE
108	83333	chbB	chbB	NE
108	83333	chbC	chbC	NE
108	83333	chbF	chbF	NE
108	83333	chbG	chbG	NE
108	83333	chbR	chbR	NE
108	83333	cheA	cheA	NE
108	83333	cheB	cheB	NE
108	83333	cheR	cheR	NE
108	83333	cheW	cheW	NE
108	83333	cheY	cheY	NE
108	83333	cheZ	cheZ	NE
108	83333	chiA	chiA	NE
108	83333	chiP	chiP	NE
108	83333	chiQ	chiQ	NE
108	83333	chiX	chiX	NE
108	83333	cho	cho	NE
108	83333	chpB	chpB	NE
108	83333	chpS	chpS	NE
108	83333	chrR	chrR	NE
108	83333	cirA	cirA	NE
108	83333	citC	citC	NE
108	83333	citD	citD	NE
108	83333	citE	citE	NE
108	83333	citF	citF	NE
108	83333	citG	citG	NE
108	83333	citT	citT	NE
108	83333	citX	citX	NE
108	83333	clcA	clcA	NE
108	83333	clcB	clcB	NE
108	83333	clpA	clpA	NE
108	83333	clpB	clpB	NE
108	83333	clpP	clpP	NE
108	83333	clpS	clpS	NE
108	83333	clpX	clpX	NE
108	83333	clsA	clsA	NE
108	83333	clsB	clsB	NE
108	83333	clsC	clsC	NE
108	83333	cmk	cmk	NE
108	83333	cmlA	cmlA	NE
108	83333	cmoA	cmoA	NE
108	83333	cmoB	cmoB	NE
108	83333	cmtA	cmtA	NE
108	83333	cmtB	cmtB	NE
108	83333	cnu	cnu	NE
108	83333	coaA	coaA	E
108	83333	coaD	coaD	E
108	83333	coaE	coaE	E
108	83333	cobB	cobB	NE
108	83333	cobC	cobC	NE
108	83333	cobS	cobS	NE
108	83333	cobT	cobT	NE
108	83333	cobU	cobU	NE
108	83333	codA	codA	NE
108	83333	codB	codB	NE
108	83333	cof	cof	NE
108	83333	cog	cog	NE
108	83333	cohE	cohE	NE
108	83333	copA	copA	NE
108	83333	corA	corA	NE
108	83333	cpdA	cpdA	NE
108	83333	cpdB	cpdB	NE
108	83333	cpsA	cpsA	NE
108	83333	cpsB	cpsB	NE
108	83333	cpsC	cpsC	NE
108	83333	cpsD	cpsD	NE
108	83333	cpsF	cpsF	NE
108	83333	cpsG	cpsG	NE
108	83333	cptA	cptA	NE
108	83333	cptB	cptB	NE
108	83333	cpxA	cpxA	NE
108	83333	cpxB	cpxB	NE
108	83333	cpxP	cpxP	NE
108	83333	cpxR	cpxR	NE
108	83333	cra	cra	NE
108	83333	crcB	crcB	NE
108	83333	creA	creA	NE
108	83333	creB	creB	NE
108	83333	creC	creC	NE
108	83333	creD	creD	NE
108	83333	crg	crg	NE
108	83333	crl	crl	NE
108	83333	croE	croE	NE
108	83333	crp	crp	NE
108	83333	crr	crr	NE
108	83333	csdA	csdA	NE
108	83333	csdE	csdE	NE
108	83333	csdL	csdL	NE
108	83333	csgA	csgA	NE
108	83333	csgB	csgB	NE
108	83333	csgC	csgC	NE
